变量,OR
const,4.78241659040058
专业大类_社会,4.2370671054059805
专业大类_科技,3.8566958189399116
专业大类_电气,3.149835697437906
专业大类_口腔,1.970348046636771
专业大类_体育,1.8281187534559653
行业大类_J,1.6562731034349942
专业大类_职业,1.6334007269645898
专业大类_化工,1.6019575096954657
专业大类_食品,1.5858037622290313
专业大类_中国,1.5606103520381902
专业大类_经济,1.5454350640712118
行业大类_G,1.4879937901076226
专业大类_信息,1.3059638719653188
专业大类_小学,1.2320212697735882
行业大类_E,1.2083514982540864
专业大类_运动,1.1969380897402684
行业大类_Q,1.1895784111526888
专业大类_电工,1.1557952519748338
年龄段_36–50,1.1002185728035971
专业大类_其他,1.0897692036056421
专业大类_电子,1.0783768860431522
专业大类_社区,1.0193099091367206
专业大类_康复,1.0168486102414844
行业大类_S,1.008658010841766
专业大类_市场,1.0
专业大类_光电,1.0
专业大类_公共,1.0
专业大类_公路,1.0
专业大类_农艺,1.0
专业大类_农业,1.0
专业大类_休闲,1.0
专业大类_产品,1.0
专业大类_哲学,1.0
专业大类_实用,1.0
专业大类_工业,1.0
专业大类_室内,1.0
专业大类_工学,1.0
专业大类_交通,1.0
专业大类_中药,1.0
专业大类_企业,1.0
专业大类_军事,1.0
专业大类_发电,1.0
专业大类_历史,1.0
专业大类_地理,1.0
专业大类_土建,1.0
专业大类_国际,1.0
专业大类_会展,1.0
专业大类_人力,1.0
专业大类_微生,1.0
专业大类_幼儿,1.0
专业大类_影视,1.0
专业大类_广播,1.0
专业大类_工艺,1.0
专业大类_地矿,1.0
专业大类_土木,1.0
专业大类_地球,1.0
专业大类_城市,1.0
专业大类_基础,1.0
专业大类_天文,1.0
专业大类_妇幼,1.0
专业大类_安全,1.0
专业大类_学前,1.0
专业大类_地质,1.0
专业大类_城乡,1.0
专业大类_工商,1.0
专业大类_商务,1.0
专业大类_制药,1.0
专业大类_分析,1.0
专业大类_动物,1.0
专业大类_包装,1.0
专业大类_卫生,1.0
专业大类_刑事,1.0
专业大类_园艺,1.0
专业大类_临床,1.0
专业大类_04,1.0
年龄段_51–65,1.0
专业大类_17,1.0
专业大类_99,1.0
专业大类_08,1.0
学历_小学及以下,1.0
行业大类_N,1.0
行业大类_R,1.0
专业大类_酒店,1.0
专业大类_采矿,1.0
专业大类_通信,1.0
专业大类_连锁,1.0
专业大类_针灸,1.0
专业大类_针炙,1.0
专业大类_高压,1.0
专业大类_风力,1.0
专业大类_高分,1.0
专业大类_风景,1.0
专业大类_船舶,1.0
专业大类_艺术,1.0
专业大类_工程,1.0
专业大类_德语,1.0
专业大类_水文,1.0
专业大类_植物,1.0
专业大类_模具,1.0
专业大类_水利,1.0
专业大类_汽车,1.0
专业大类_机电,1.0
专业大类_机车,1.0
专业大类_林业,1.0
专业大类_旅游,1.0
专业大类_思想,1.0
专业大类_戏剧,1.0
专业大类_房地,1.0
专业大类_播音,1.0
