Year,Host,City,Country,Cancelled
1896,"Athens, Greece",Athens,Greece,False
1900,"Paris, France",Paris,France,False
1904,"St. Louis, United States",St. Louis,United States,False
1908,"London, United Kingdom",London,United Kingdom,False
1912,"Stockholm, Sweden",Stockholm,Sweden,False
1920,"Antwerp, Belgium",Antwerp,Belgium,False
1924,"Paris, France",Paris,France,False
1928,"Amsterdam, Netherlands",Amsterdam,Netherlands,False
1932,"Los Angeles, United States",Los Angeles,United States,False
1936,"Berlin, Germany",Berlin,Germany,False
1948,"London, United Kingdom",London,United Kingdom,False
1952,"Helsinki, Finland",Helsinki,Finland,False
1956,"Melbourne, Australia",Melbourne,Australia,False
1960,"Rome, Italy",Rome,Italy,False
1964,"Tokyo, Japan",Tokyo,Japan,False
1968,"Mexico City, Mexico",Mexico City,Mexico,False
1972,"Munich, West Germany",Munich,West Germany,False
1976,"Montreal, Canada",Montreal,Canada,False
1980,"Moscow, Soviet Union",Moscow,Soviet Union,False
1984,"Los Angeles, United States",Los Angeles,United States,False
1988,"Seoul, South Korea",Seoul,South Korea,False
1992,"Barcelona, Spain",Barcelona,Spain,False
1996,"Atlanta, United States",Atlanta,United States,False
2000,"Sydney, Australia",Sydney,Australia,False
2004,"Athens, Greece",Athens,Greece,False
2008,"Beijing, China",Beijing,China,False
2012,"London, United Kingdom",London,United Kingdom,False
2016,"Rio De Janeiro, Brazil",Rio De Janeiro,Brazil,False
2020,"Tokyo, Japan (Postponed To 2021 Due To The Coronavirus Pandemic)",Tokyo,Japan (Postponed To 2021 Due To The Coronavirus Pandemic),False
2024,"Paris, France",Paris,France,False
2028,"Los Angeles, United States",Los Angeles,United States,False
2032,"Brisbane, Australia",Brisbane,Australia,False
