Sport,Discipline,Code,1896,1900,1904,1906,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024,Total,Importance_1896,Importance_1900,Importance_1904,Importance_1906,Importance_1908,Importance_1912,Importance_1920,Importance_1924,Importance_1928,Importance_1932,Importance_1936,Importance_1948,Importance_1952,Importance_1956,Importance_1960,Importance_1964,Importance_1968,Importance_1972,Importance_1976,Importance_1980,Importance_1984,Importance_1988,Importance_1992,Importance_1996,Importance_2000,Importance_2004,Importance_2008,Importance_2012,Importance_2016,Importance_2020,Importance_2024
Aquatics,Artistic Swimming,SWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,2,2,2,2,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523
Aquatics,Diving,DIV,0,0,2,1,2,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8.0,139.0,0.0,0.0,0.014388489208633094,0.007194244604316547,0.014388489208633094,0.02877697841726619,0.03597122302158273,0.03597122302158273,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238
Aquatics,Marathon Swimming,OWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
Aquatics,Swimming,SWM,4,7,9,4,6,9,10,11,11,11,11,11,11,13,15,18,29,29,26,26,29,31,31,32,32,32,32,32,32,35,35.0,624.0,0.00641025641025641,0.011217948717948718,0.014423076923076924,0.00641025641025641,0.009615384615384616,0.014423076923076924,0.016025641025641024,0.017628205128205128,0.017628205128205128,0.017628205128205128,0.017628205128205128,0.017628205128205128,0.017628205128205128,0.020833333333333332,0.02403846153846154,0.028846153846153848,0.046474358974358976,0.046474358974358976,0.041666666666666664,0.041666666666666664,0.046474358974358976,0.049679487179487176,0.049679487179487176,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05608974358974359,0.05608974358974359
Aquatics,Water Polo,WPO,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2.0,36.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
Archery,Archery,ARC,0,7,6,0,3,0,10,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,5,5.0,76.0,0.0,0.09210526315789473,0.07894736842105263,0.0,0.039473684210526314,0.0,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.06578947368421052,0.06578947368421052
Athletics,Athletics,ATH,12,23,25,21,26,30,29,27,27,29,29,33,33,33,34,36,36,38,37,38,41,42,43,44,46,46,47,47,47,48,48.0,1095.0,0.010958904109589041,0.021004566210045664,0.0228310502283105,0.019178082191780823,0.023744292237442923,0.0273972602739726,0.026484018264840183,0.024657534246575342,0.024657534246575342,0.026484018264840183,0.026484018264840183,0.030136986301369864,0.030136986301369864,0.030136986301369864,0.031050228310502283,0.03287671232876712,0.03287671232876712,0.034703196347031964,0.033789954337899546,0.034703196347031964,0.03744292237442922,0.038356164383561646,0.039269406392694065,0.04018264840182648,0.04200913242009133,0.04200913242009133,0.042922374429223746,0.042922374429223746,0.042922374429223746,0.043835616438356165,0.043835616438356165
Badminton,Badminton,BDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,5,5,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.11363636363636363
Baseball and Softball,Baseball,BSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
Baseball and Softball,Softball,SBL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0
