,Sport,Discipline,Code,excel_country,Count,csv_country,Rank,NOC,Gold,Silver,Bronze,Total,Year,HostCountry
0,,,,,,,12,AFG,3,1,0,4,1932,United States
1,,,,,,,30,AFG,0,1,1,2,1960,Italy
2,,,,,,,82,AFG,0,0,1,1,2008,China
3,,,,,,,79,AFG,0,0,1,1,2012,United Kingdom
4,,,,,,,36,AHO,0,1,0,1,1988,South Korea
5,,,,,,,80,ALB,0,0,2,2,2024,France
6,,,,,,,42,ALG,0,0,2,2,1984,United States
7,,,,,,,34,ALG,1,0,1,2,1992,Spain
8,,,,,,,34,ALG,2,0,1,3,1996,United States
9,,,,,,,42,ALG,1,1,3,5,2000,Australia
10,,,,,,,68,ALG,0,1,1,2,2008,China
11,,,,,,,50,ALG,1,0,0,1,2012,United Kingdom
12,,,,,,,63,ALG,0,2,0,2,2016,Brazil
13,,,,,,,39,ALG,2,0,1,3,2024,France
14,,,,,,,16,ARG,1,3,2,6,1924,France
15,,,,,,,12,ARG,3,3,1,7,1928,Netherlands
16,,,,,,,14,ARG,2,2,3,7,1936,Germany
17,,,,,,,13,ARG,3,3,1,7,1948,United Kingdom
18,,,,,,,19,ARG,1,2,2,5,1952,Finland
19,,,,,,,29,ARG,0,1,1,2,1956,Australia
20,,,,,,,30,ARG,0,1,0,1,1964,Japan
21,,,,,,,41,ARG,0,0,2,2,1968,Mexico
22,,,,,,,33,ARG,0,1,0,1,1972,West Germany
23,,,,,,,35,ARG,0,1,1,2,1988,South Korea
24,,,,,,,54,ARG,0,0,1,1,1992,Spain
25,,,,,,,54,ARG,0,2,1,3,1996,United States
26,,,,,,,57,ARG,0,2,2,4,2000,Australia
27,,,,,,,38,ARG,2,0,4,6,2004,Greece
28,,,,,,,35,ARG,2,0,4,6,2008,China
29,,,,,,,42,ARG,1,1,2,4,2012,United Kingdom
30,,,,,,,26,ARG,3,1,0,4,2016,Brazil
31,,,,,,,72,ARG,0,1,2,3,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
32,,,,,,,52,ARG,1,1,1,3,2024,France
33,,,,,,,45,ARM,1,1,0,2,1996,United States
34,,,,,,,71,ARM,0,0,1,1,2000,Australia
35,,,,,,,62,ARM,0,1,4,5,2008,China
36,,,,,,,65,ARM,0,1,1,2,2012,United Kingdom
