Rank,NOC,Gold,Silver,Bronze,Total,Year,HostCountry
1,USA,11,7,2,20,1896,Greece
2,GRE,10,18,19,47,1896,Greece
3,GER,6,5,2,13,1896,Greece
4,FRA,5,4,2,11,1896,Greece
5,GBR,2,3,2,7,1896,Greece
6,HUN,2,1,3,6,1896,Greece
7,AUT,2,1,2,5,1896,Greece
8,AUS,2,0,0,2,1896,Greece
9,DEN,1,2,3,6,1896,Greece
10,SUI,1,2,0,3,1896,Greece
11,Mixed team,1,0,1,2,1896,Greece
1,FRA,27,39,37,103,1900,France
2,USA,19,14,15,48,1900,France
3,GBR,15,7,9,31,1900,France
4,Mixed team,8,5,6,19,1900,France
5,BEL,6,7,4,17,1900,France
6,SUI,6,2,1,9,1900,France
7,GER,4,3,2,9,1900,France
8,ITA,3,2,0,5,1900,France
9,AUS,2,0,3,5,1900,France
10,DEN,1,3,2,6,1900,France
11,HUN,1,2,2,5,1900,France
12,CUB,1,1,0,2,1900,France
13,CAN,1,0,1,2,1900,France
14,ESP,1,0,0,1,1900,France
14,LUX,1,0,0,1,1900,France
16,AUT,0,3,3,6,1900,France
17,NOR,0,2,3,5,1900,France
17,NED,0,2,3,5,1900,France
19,IND,0,2,0,2,1900,France
20,BOH,0,1,1,2,1900,France
21,SWE,0,0,1,1,1900,France
1,USA,76,78,77,231,1904,United States
2,GER,4,5,6,15,1904,United States
3,CAN,4,1,1,6,1904,United States
4,CUB,3,0,0,3,1904,United States
5,HUN,2,1,1,4,1904,United States
5,Mixed team,2,1,1,4,1904,United States
7,NOR,2,0,0,2,1904,United States
8,AUT,1,1,1,3,1904,United States
9,GBR,1,1,0,2,1904,United States
10,SUI,1,0,2,3,1904,United States
11,GRE,1,0,1,2,1904,United States
12,AUS,0,3,1,4,1904,United States
13,FRA,0,1,0,1,1904,United States
1,GBR,56,51,39,146,1908,United Kingdom
2,USA,23,12,12,47,1908,United Kingdom
3,SWE,8,6,11,25,1908,United Kingdom
4,FRA,5,5,9,19,1908,United Kingdom
5,GER,3,5,5,13,1908,United Kingdom
6,HUN,3,4,2,9,1908,United Kingdom
7,CAN,3,3,10,16,1908,United Kingdom
8,NOR,2,3,3,8,1908,United Kingdom
9,ITA,2,2,0,4,1908,United Kingdom
10,BEL,1,5,2,8,1908,United Kingdom
11,AUS,1,2,2,5,1908,United Kingdom
12,RUS,1,2,0,3,1908,United Kingdom
13,FIN,1,1,3,5,1908,United Kingdom
14,RSA,1,1,0,2,1908,United Kingdom
15,GRE,0,3,1,4,1908,United Kingdom
16,DEN,0,2,3,5,1908,United Kingdom
17,BOH,0,0,2,2,1908,United Kingdom
17,NED,0,0,2,2,1908,United Kingdom
19,AUT,0,0,1,1,1908,United Kingdom
1,USA,26,19,19,64,1912,Sweden
2,SWE,23,25,17,65,1912,Sweden
3,GBR,10,15,16,41,1912,Sweden
4,FIN,9,8,9,26,1912,Sweden
5,FRA,7,4,3,14,1912,Sweden
6,GER,5,13,7,25,1912,Sweden
7,RSA,4,2,0,6,1912,Sweden
8,NOR,3,2,5,10,1912,Sweden
9,CAN,3,2,3,8,1912,Sweden
9,HUN,3,2,3,8,1912,Sweden
11,ITA,3,1,2,6,1912,Sweden
12,AUS,2,2,3,7,1912,Sweden
13,BEL,2,1,3,6,1912,Sweden
14,DEN,1,6,5,12,1912,Sweden
15,GRE,1,0,1,2,1912,Sweden
16,RUS,0,2,3,5,1912,Sweden
17,AUT,0,2,2,4,1912,Sweden
18,NED,0,0,3,3,1912,Sweden
1,USA,41,27,27,95,1920,Belgium
2,SWE,19,20,25,64,1920,Belgium
3,FIN,15,10,9,34,1920,Belgium
4,GBR,14,15,13,42,1920,Belgium
5,BEL,14,11,11,36,1920,Belgium
6,NOR,13,9,9,31,1920,Belgium
7,ITA,13,5,5,23,1920,Belgium
8,FRA,9,19,13,41,1920,Belgium
9,NED,4,2,5,11,1920,Belgium
10,DEN,3,9,1,13,1920,Belgium
11,RSA,3,4,3,10,1920,Belgium
