Rank,NOC,Gold,Silver,Bronze,Total,Year,host_NOC
1,USA,11,7,2,20,1896,GRE
2,GRE,10,18,19,47,1896,GRE
3,GER,6,5,2,13,1896,GRE
4,FRA,5,4,2,11,1896,GRE
5,GBR,2,3,2,7,1896,GRE
6,HUN,2,1,3,6,1896,GRE
7,AUT,2,1,2,5,1896,GRE
8,AUS,2,0,0,2,1896,GRE
9,DEN,1,2,3,6,1896,GRE
10,SUI,1,2,0,3,1896,GRE
11,Mixed team,1,0,1,2,1896,GRE
1,FRA,27,39,37,103,1900,FRA
2,USA,19,14,15,48,1900,FRA
3,GBR,15,7,9,31,1900,FRA
4,Mixed team,8,5,6,19,1900,FRA
5,BEL,6,7,4,17,1900,FRA
6,SUI,6,2,1,9,1900,FRA
7,GER,4,3,2,9,1900,FRA
8,ITA,3,2,0,5,1900,FRA
9,AUS,2,0,3,5,1900,FRA
10,DEN,1,3,2,6,1900,FRA
11,HUN,1,2,2,5,1900,FRA
12,CUB,1,1,0,2,1900,FRA
13,CAN,1,0,1,2,1900,FRA
14,ESP,1,0,0,1,1900,FRA
14,LUX,1,0,0,1,1900,FRA
16,AUT,0,3,3,6,1900,FRA
17,NOR,0,2,3,5,1900,FRA
17,NED,0,2,3,5,1900,FRA
19,IND,0,2,0,2,1900,FRA
20,BOH,0,1,1,2,1900,FRA
21,SWE,0,0,1,1,1900,FRA
1,USA,76,78,77,231,1904,USA
2,GER,4,5,6,15,1904,USA
3,CAN,4,1,1,6,1904,USA
4,CUB,3,0,0,3,1904,USA
5,HUN,2,1,1,4,1904,USA
5,Mixed team,2,1,1,4,1904,USA
7,NOR,2,0,0,2,1904,USA
8,AUT,1,1,1,3,1904,USA
9,GBR,1,1,0,2,1904,USA
10,SUI,1,0,2,3,1904,USA
11,GRE,1,0,1,2,1904,USA
12,AUS,0,3,1,4,1904,USA
13,FRA,0,1,0,1,1904,USA
1,GBR,56,51,39,146,1908,GBR
2,USA,23,12,12,47,1908,GBR
3,SWE,8,6,11,25,1908,GBR
4,FRA,5,5,9,19,1908,GBR
5,GER,3,5,5,13,1908,GBR
6,HUN,3,4,2,9,1908,GBR
7,CAN,3,3,10,16,1908,GBR
8,NOR,2,3,3,8,1908,GBR
9,ITA,2,2,0,4,1908,GBR
10,BEL,1,5,2,8,1908,GBR
11,AUS,1,2,2,5,1908,GBR
12,RUS,1,2,0,3,1908,GBR
13,FIN,1,1,3,5,1908,GBR
14,RSA,1,1,0,2,1908,GBR
15,GRE,0,3,1,4,1908,GBR
16,DEN,0,2,3,5,1908,GBR
17,BOH,0,0,2,2,1908,GBR
17,NED,0,0,2,2,1908,GBR
19,AUT,0,0,1,1,1908,GBR
1,USA,26,19,19,64,1912,SWE
2,SWE,23,25,17,65,1912,SWE
3,GBR,10,15,16,41,1912,SWE
4,FIN,9,8,9,26,1912,SWE
5,FRA,7,4,3,14,1912,SWE
6,GER,5,13,7,25,1912,SWE
7,RSA,4,2,0,6,1912,SWE
8,NOR,3,2,5,10,1912,SWE
9,CAN,3,2,3,8,1912,SWE
9,HUN,3,2,3,8,1912,SWE
11,ITA,3,1,2,6,1912,SWE
12,AUS,2,2,3,7,1912,SWE
13,BEL,2,1,3,6,1912,SWE
14,DEN,1,6,5,12,1912,SWE
15,GRE,1,0,1,2,1912,SWE
16,RUS,0,2,3,5,1912,SWE
17,AUT,0,2,2,4,1912,SWE
18,NED,0,0,3,3,1912,SWE
1,USA,41,27,27,95,1920,BEL
2,SWE,19,20,25,64,1920,BEL
3,FIN,15,10,9,34,1920,BEL
4,GBR,14,15,13,42,1920,BEL
5,BEL,14,11,11,36,1920,BEL
6,NOR,13,9,9,31,1920,BEL
7,ITA,13,5,5,23,1920,BEL
8,FRA,9,19,13,41,1920,BEL
9,NED,4,2,5,11,1920,BEL
10,DEN,3,9,1,13,1920,BEL
11,RSA,3,4,3,10,1920,BEL
12,CAN,3,3,3,9,1920,BEL
13,SUI,2,2,7,11,1920,BEL
14,EST,1,2,0,3,1920,BEL
15,BRA,1,1,1,3,1920,BEL
16,AUS,0,2,1,3,1920,BEL
17,JPN,0,2,0,2,1920,BEL
17,ESP,0,2,0,2,1920,BEL
19,GRE,0,1,0,1,1920,BEL
19,LUX,0,1,0,1,1920,BEL
21,CZE,0,0,2,2,1920,BEL
22,NZL,0,0,1,1,1920,BEL
1,USA,45,27,27,99,1924,FRA
2,FIN,14,13,10,37,1924,FRA
3,FRA,13,15,10,38,1924,FRA
4,GBR,9,13,12,34,1924,FRA
5,ITA,8,3,5,16,1924,FRA
6,SUI,7,8,10,25,1924,FRA
7,NOR,5,2,3,10,1924,FRA
8,SWE,4,13,12,29,1924,FRA
9,NED,4,1,5,10,1924,FRA
10,BEL,3,7,3,13,1924,FRA
11,AUS,3,1,2,6,1924,FRA
12,DEN,2,5,2,9,1924,FRA
13,HUN,2,3,4,9,1924,FRA
14,YUG,2,0,0,2,1924,FRA
15,CZE,1,4,5,10,1924,FRA
16,ARG,1,3,2,6,1924,FRA
17,EST,1,1,4,6,1924,FRA
18,RSA,1,1,1,3,1924,FRA
19,URU,1,0,0,1,1924,FRA
20,AUT,0,3,1,4,1924,FRA
20,CAN,0,3,1,4,1924,FRA
22,POL,0,1,1,2,1924,FRA
23,HAI,0,0,1,1,1924,FRA
23,JPN,0,0,1,1,1924,FRA
23,NZL,0,0,1,1,1924,FRA
23,POR,0,0,1,1,1924,FRA
23,ROU,0,0,1,1,1924,FRA
1,USA,22,18,16,56,1928,NED
2,GER,10,7,14,31,1928,NED
3,FIN,8,8,9,25,1928,NED
4,SWE,7,6,12,25,1928,NED
5,ITA,7,5,7,19,1928,NED
6,SUI,7,4,4,15,1928,NED
7,FRA,6,10,5,21,1928,NED
8,NED,6,9,4,19,1928,NED
9,HUN,4,5,0,9,1928,NED
10,CAN,4,4,7,15,1928,NED
11,GBR,3,10,7,20,1928,NED
12,ARG,3,3,1,7,1928,NED
13,DEN,3,1,2,6,1928,NED
14,CZE,2,5,2,9,1928,NED
15,JPN,2,2,1,5,1928,NED
16,EST,2,1,2,5,1928,NED
17,EGY,2,1,1,4,1928,NED
18,AUT,2,0,1,3,1928,NED
19,AUS,1,2,1,4,1928,NED
19,NOR,1,2,1,4,1928,NED
21,POL,1,1,3,5,1928,NED
21,YUG,1,1,3,5,1928,NED
23,RSA,1,0,2,3,1928,NED
24,IND,1,0,0,1,1928,NED
24,IRL,1,0,0,1,1928,NED
24,NZL,1,0,0,1,1928,NED
24,ESP,1,0,0,1,1928,NED
24,URU,1,0,0,1,1928,NED
29,BEL,0,1,2,3,1928,NED
30,CHI,0,1,0,1,1928,NED
30,HAI,0,1,0,1,1928,NED
32,PHI,0,0,1,1,1928,NED
32,POR,0,0,1,1,1928,NED
1,USA,44,36,30,110,1932,USA
2,ITA,12,12,12,36,1932,USA
3,FRA,11,5,4,20,1932,USA
4,SWE,10,5,9,24,1932,USA
5,JPN,7,7,4,18,1932,USA
6,HUN,6,5,5,16,1932,USA
7,GER,5,12,7,24,1932,USA
8,FIN,5,8,12,25,1932,USA
9,GBR,5,7,5,17,1932,USA
10,POL,3,2,4,9,1932,USA
11,AUS,3,1,1,5,1932,USA
12,AFG,3,1,0,4,1932,USA
13,CAN,2,5,9,16,1932,USA
14,NED,2,5,1,8,1932,USA
15,RSA,2,0,3,5,1932,USA
16,IRL,2,0,0,2,1932,USA
17,CZE,1,3,2,6,1932,USA
18,AUS,1,1,3,5,1932,USA
19,IND,1,0,0,1,1932,USA
20,DEN,0,5,3,8,1932,USA
21,MEX,0,2,0,2,1932,USA
22,LAT,0,1,0,1,1932,USA
22,NZL,0,1,0,1,1932,USA
22,SUI ,0,1,0,1,1932,USA
25,PHI,0,0,3,3,1932,USA
26,BEL,0,0,1,1,1932,USA
26,ESP,0,0,1,1,1932,USA
26,URU,0,0,1,1,1932,USA
1,GER,38,31,32,101,1936,GER
2,USA,24,21,12,57,1936,GER
3,HUN,10,1,5,16,1936,GER
4,ITA,9,13,5,27,1936,GER
5,FIN,8,6,6,20,1936,GER
6,FRA,7,6,6,19,1936,GER
7,SWE,6,5,10,21,1936,GER
8,JPN,6,4,10,20,1936,GER
