Sport,Discipline,Greece.per,France.per,United States.per,United Kingdom.per,Sweden.per,Belgium.per,France.1.per,Netherlands.per,United States.1.per,Germany.per,United Kingdom.1.per,Finland.per,Australia.per,Italy.per,Japan.per,Mexico.per,West Germany.per,Canada.per,Soviet Union.per,United States.2.per,South Korea.per,Spain.per,United States.3.per,Australia.1.per,Greece.1.per,China.per,United Kingdom.2.per,Brazil.per,Japan.1.per,France.2.per
Aquatics,Artistic Swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009049774,0.008438819,0.007782101,0.003690037,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Aquatics,Diving,0,0,0.021052632,0.018181818,0.039215686,0.032051282,0.03968254,0.036697248,0.034188034,0.031007752,0.029411765,0.026845638,0.026490066,0.026666667,0.024539877,0.023255814,0.020512821,0.02020202,0.019704433,0.018099548,0.016877637,0.015564202,0.014760148,0.026666667,0.026578073,0.026490066,0.026490066,0.026143791,0.02359882,0.024316109
Aquatics,Marathon Swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Aquatics,Swimming,0.093023256,0.072164948,0.094736842,0.054545455,0.088235294,0.064102564,0.087301587,0.100917431,0.094017094,0.085271318,0.080882353,0.073825503,0.086092715,0.1,0.110429448,0.168604651,0.148717949,0.131313131,0.128078818,0.131221719,0.130801688,0.120622568,0.118081181,0.106666667,0.106312292,0.105960265,0.105960265,0.104575163,0.103244838,0.106382979
Aquatics,Water Polo,0,0.010309278,0.010526316,0.009090909,0.009803922,0.006410256,0.007936508,0.009174312,0.008547009,0.007751938,0.007352941,0.006711409,0.006622517,0.006666667,0.006134969,0.005813953,0.005128205,0.005050505,0.004926108,0.004524887,0.004219409,0.003891051,0.003690037,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Archery,Archery,0,0.072164948,0.063157895,0.027272727,0,0.064102564,0,0,0,0,0,0,0,0,0,0,0.01025641,0.01010101,0.009852217,0.009049774,0.016877637,0.015564202,0.014760148,0.013333333,0.013289037,0.013245033,0.013245033,0.013071895,0.014749263,0.015197568
Athletics,Athletics,0.279069767,0.237113402,0.263157895,0.236363636,0.294117647,0.185897436,0.214285714,0.247706422,0.247863248,0.224806202,0.242647059,0.22147651,0.218543046,0.226666667,0.220858896,0.209302326,0.194871795,0.186868687,0.187192118,0.185520362,0.17721519,0.167315175,0.162361624,0.153333333,0.15282392,0.155629139,0.155629139,0.153594771,0.14159292,0.145896657
Badminton,Badminton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015564202,0.018450185,0.016666667,0.016611296,0.016556291,0.016556291,0.016339869,0.014749263,0.015197568
Baseball and Softball,Baseball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003891051,0.003690037,0.003333333,0.003322259,0.003311258,0,0,0.002949853,0
Baseball and Softball,Softball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003690037,0.003333333,0.003322259,0.003311258,0,0,0.002949853,0
Basketball,3x3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005899705,0.006079027
